Bill_No,Customer_ID,Gender,Customer_Location,Purchase_ID,Date_Purchase,Week_Purchase,Time,Time_Bucket,Categories,Purchase_Item,"Purchase_Qty (kg,ltre)",Payment_Mode,Price,Gross Sale,%,Total Sales
13,VKPM_VVMID00246,Male,Visakhapatnam,PRE_PRCS0103256,20-12-2025,Saturday,10:48,Morning,Grocery & Staples,Rice (Boiled/Parboiled),1,UPI,499.00,499.00,0.25,498.75
14,MVPC_VVMID29339,Male,MVP Colony,PRE_PRCS0103656,31-12-2025,Wednesday,10:51,Morning,Toys & Games,"LEGO Classic, City, Friends, Ninjago",1,UPI,359.79,359.79,0.25,359.54
15,VKPM_VVMID00249,Male,Visakhapatnam,PRE_PRCS0104056,21-12-2025,Sunday,10:54,Morning,Grocery & Staples,Basmati Rice,1,Net Banking,1500.30,1500.30,0.25,1500.05
16,VKPM_VVMID00252,Female,Visakhapatnam,PRE_PRCS0104456,21-12-2025,Sunday,10:57,Morning,Apparel,Socks,1,Debit Card,179.00,179.00,0.25,178.75
17,JMBJ_VVMID23123,Male,Jagadamba Junction,PRE_PRCS0104856,01-01-2026,Thursday,11:00,Morning,Toys & Games,Nerf guns (Elite 2.0 series),2,UPI,2890.45,5780.90,5.75,5775.15
18,VKPM_VVMID00255,Female,Visakhapatnam,PRE_PRCS0105256,22-12-2025,Monday,11:03,Morning,Apparel,Handkerchiefs,2,Cash,631.30,1262.60,5.75,1256.85
19,VKPM_VVMID00258,Male,Visakhapatnam,PRE_PRCS0105656,30-12-2025,Tuesday,11:06,Morning,Toys & Games,Pokémon cards & figures,2,Cash,120.00,240.00,5.75,234.25
20,VKPM_VVMID00261,Male,Visakhapatnam,PRE_PRCS0106056,23-12-2025,Tuesday,11:09,Morning,Apparel,T-shirts / Casual Wear,3,UPI,899.00,2697.00,10.75,2686.25
21,VKPM_VVMID00264,Male,Visakhapatnam,PRE_PRCS0106456,30-12-2025,Tuesday,11:12,Morning,Home & Kitchen,Non-stick Cookware,2,UPI,1933.80,3867.60,5.75,3861.85
22,VZNM_VVMID06985,Male,Vizianagaram,PRE_PRCS0106856,31-12-2025,Wednesday,11:15,Morning,Home & Kitchen,Steel/Aluminum Utensils,2,UPI,409.30,818.60,5.75,812.85
23,AN-VVMID007623,Female,Auto Nagar,PRE_PRCS0107256,31-12-2025,Wednesday,11:18,Morning,Personal Care,Conditioner,1,Cash,103.98,103.98,0.25,103.73
24,GJA_VVMID18135,Male,Gajuwaka,PRE_PRCS0107656,01-01-2026,Thursday,11:21,Morning,Personal Care,Hair Oil,1,Credit Card,182.80,182.80,0.25,182.55
25,AN-VVMID007637,Male,Auto Nagar,PRE_PRCS0108056,30-12-2025,Tuesday,11:24,Morning,Personal Care,Hair Serum,1,Debit Card,300.10,300.10,0.25,299.85
26,VKPM_VVMID00267,Female,Visakhapatnam,PRE_PRCS0108456,31-12-2025,Wednesday,11:27,Morning,Personal Care,Hair Gel,1,UPI,596.60,596.60,0.25,596.35
27,GJA_VVMID18145,Male,Gajuwaka,PRE_PRCS0108856,29-01-2026,Thursday,11:30,Morning,Dairy & Frozen,Toned Milk,2,Credit Card,128.90,257.80,5.75,252.05
28,SKLM_VVMID800820,Male,Srikakulam,PRE_PRCS0109256,01-01-2026,Thursday,11:33,Morning,Home & Kitchen,Casseroles & Hotpots,1,Net Banking,890.90,890.90,0.25,890.65
29,AN-VVMID007651,Male,Auto Nagar,PRE_PRCS0109656,05-01-2026,Monday,11:36,Morning,Fruits & Vegitables,Banana,1,Debit Card,180.40,180.40,0.25,180.15
30,VKPM_VVMID00270,Male,Visakhapatnam,PRE_PRCS0110056,22-12-2025,Monday,11:39,Morning,Grocery & Staples,Sona Masoori Rice,1,Cash,804.88,804.88,0.25,804.63
31,VKPM_VVMID00273,Male,Visakhapatnam,PRE_PRCS0110456,06-01-2026,Tuesday,11:42,Morning,Fruits & Vegitables,Apple,1,UPI,120.75,120.75,0.25,120.50
32,VKPM_VVMID00276,Male,Visakhapatnam,PRE_PRCS0110856,07-01-2026,Wednesday,11:45,Morning,Fruits & Vegitables,Grapes,1,UPI,179.00,179.00,0.25,178.75
33,NAD_VVMID30349,Male,NAD Junction,PRE_PRCS0111256,08-01-2026,Thursday,11:48,Morning,Fruits & Vegitables,Pomegranate,1,Cash,120.00,120.00,0.25,119.75
34,DN_VVMID014613,Female,Dwaraka Nagar,PRE_PRCS0111656,09-01-2026,Friday,11:51,Morning,Fruits & Vegitables,Guava,1,Credit Card,50.00,50.00,0.25,49.75
35,AN-VVMID007665,Male,Auto Nagar,PRE_PRCS0112056,30-01-2026,Friday,11:54,Morning,Dairy & Frozen,Double Toned Milk,2,Debit Card,329.50,659.00,5.75,653.25
36,VKPM_VVMID00279,Female,Visakhapatnam,PRE_PRCS0112456,31-01-2026,Saturday,11:57,Morning,Dairy & Frozen,Skimmed Milk,1,UPI,169.00,169.00,0.25,168.75
37,VKPM_VVMID00282,Male,Visakhapatnam,PRE_PRCS0112856,20-12-2025,Saturday,12:00,Afternoon,Dairy & Frozen,Standardized Milk,2,UPI,60.00,120.00,5.75,114.25
38,NAD_VVMID30353,Male,NAD Junction,PRE_PRCS0113256,21-12-2025,Sunday,12:03,Afternoon,Dairy & Frozen,"Flavored Milk (Badam, Chocolate, Strawberry, etc.)",1,Cash,329.50,329.50,0.25,329.25
39,DN_VVMID014627,Male,Dwaraka Nagar,PRE_PRCS0113656,22-12-2025,Monday,12:06,Afternoon,Dairy & Frozen,Buttermilk (Chaas),1,Credit Card,45.80,45.80,0.25,45.55
40,MPM_VVMID27845,Male,Maddilapalem,PRE_PRCS0114056,10-01-2026,Saturday,12:09,Afternoon,Fruits & Vegitables,Papaya,1,Debit Card,120.60,120.60,0.25,120.35
41,MVPC_VVMID29343,Female,MVP Colony,PRE_PRCS0114456,11-01-2026,Sunday,12:12,Afternoon,Fruits & Vegitables,Watermelon,1,UPI,60.00,60.00,0.25,59.75
42,JMBJ_VVMID23142,Male,Jagadamba Junction,PRE_PRCS0114856,12-01-2026,Monday,12:15,Afternoon,Fruits & Vegitables,Muskmelon,1,UPI,130.60,130.60,0.25,130.35
43,VKPM_VVMID00285,Male,Visakhapatnam,PRE_PRCS0115256,13-01-2026,Tuesday,12:18,Afternoon,Fruits & Vegitables,Orange,2,Cash,80.00,160.00,5.75,154.25
44,GJA_VVMID18155,Female,Gajuwaka,PRE_PRCS0115656,30-12-2025,Tuesday,12:21,Afternoon,Home & Kitchen,Tiffin Boxes / Lunch Boxes,2,UPI,200.00,400.00,5.75,394.25
45,VKPM_VVMID00288,Male,Visakhapatnam,PRE_PRCS0116056,01-01-2026,Thursday,12:24,Afternoon,Personal Care,Hair Wax,1,UPI,389.80,389.80,0.25,389.55
46,NAD_VVMID30357,Male,NAD Junction,PRE_PRCS0116456,30-12-2025,Tuesday,12:27,Afternoon,Personal Care,Hair Cream,1,Cash,179.00,179.00,0.25,178.75
47,VKPM_VVMID00291,Male,Visakhapatnam,PRE_PRCS0116856,23-12-2025,Tuesday,12:30,Afternoon,Grocery & Staples,Broken Rice,1,UPI,245.60,245.60,0.25,245.35
48,MPM_VVMID27851,Male,Maddilapalem,PRE_PRCS0117256,23-12-2025,Tuesday,12:33,Afternoon,Dairy & Frozen,UHT / Long-Life Milk,1,Debit Card,85.80,85.80,0.25,85.55
49,VKPM_VVMID00294,Male,Visakhapatnam,PRE_PRCS0117656,14-01-2026,Wednesday,12:36,Afternoon,Fruits & Vegitables,Sweet Lime (Mosambi),3,Debit Card,80.60,241.80,10.75,231.05
50,DN_VVMID014641,Male,Dwaraka Nagar,PRE_PRCS0118056,31-12-2025,Wednesday,12:39,Afternoon,Personal Care,Hair Spray,1,Credit Card,341.50,341.50,0.25,341.25
51,AN-VVMID007679,Male,Auto Nagar,PRE_PRCS0118456,31-12-2025,Wednesday,12:42,Afternoon,Home & Kitchen,Water Bottles / Flasks / Thermos,2,Cash,1099.15,2198.30,5.75,2192.55
52,VKPM_VVMID00297,Female,Visakhapatnam,PRE_PRCS0118856,24-12-2025,Wednesday,12:45,Afternoon,Apparel,Nightwear / Pyjamas,4,Net Banking,1773.40,7093.60,16.75,7076.85
53,AN-VVMID007693,Male,Auto Nagar,PRE_PRCS0119256,20-01-2026,Tuesday,12:48,Afternoon,General Merchandise,Cockroach Killers,1,Cash,97.10,97.10,0.25,96.85
54,VKPM_VVMID00300,Female,Visakhapatnam,PRE_PRCS0119656,25-12-2025,Thursday,12:51,Afternoon,Apparel,Towels / Bath Towels,1,Cash,309.00,309.00,0.25,308.75
55,MPM_VVMID27857,Male,Maddilapalem,PRE_PRCS0120056,01-01-2026,Thursday,12:54,Afternoon,Personal Care,Hair Color/Dye,1,Debit Card,179.00,179.00,0.25,178.75
56,MVPC_VVMID29347,Male,MVP Colony,PRE_PRCS0120456,30-12-2025,Tuesday,12:57,Afternoon,Personal Care,Henna Powder,1,UPI,878.90,878.90,0.25,878.65
57,MVPC_VVMID29351,Male,MVP Colony,PRE_PRCS0120856,24-12-2025,Wednesday,13:02,Afternoon,Dairy & Frozen,Organic Milk,1,UPI,120.60,120.60,0.25,120.35
58,VKPM_VVMID00303,Male,Visakhapatnam,PRE_PRCS0121256,31-12-2025,Wednesday,13:05,Afternoon,Toys & Games,"Ludo, Snakes & Ladders, Business (magnetic folding board)",1,Debit Card,45.80,45.80,0.25,45.55
59,JMBJ_VVMID23161,Female,Jagadamba Junction,PRE_PRCS0121656,31-12-2025,Wednesday,13:08,Afternoon,Personal Care,Anti-Dandruff Treatment,1,UPI,860.25,860.25,0.25,860.00
60,JMBJ_VVMID23180,Male,Jagadamba Junction,PRE_PRCS0122056,25-12-2025,Thursday,13:11,Afternoon,Dairy & Frozen,A2 Milk,1,UPI,60.00,60.00,0.25,59.75
61,VKPM_VVMID00306,Male,Visakhapatnam,PRE_PRCS0122456,01-01-2026,Thursday,13:14,Afternoon,Toys & Games,Play-Doh 10-color pack,2,Cash,399.60,799.20,5.75,793.45
62,VZNM_VVMID06993,Female,Vizianagaram,PRE_PRCS0122856,24-12-2025,Wednesday,13:17,Afternoon,Grocery & Staples,Wheat,1,UPI,299.00,299.00,0.25,298.75
63,VKPM_VVMID00309,Male,Visakhapatnam,PRE_PRCS0123256,01-01-2026,Thursday,13:20,Afternoon,Personal Care,Hair Mask,1,Cash,641.60,641.60,0.25,641.35
64,VKPM_VVMID00312,Male,Visakhapatnam,PRE_PRCS0123656,30-12-2025,Tuesday,13:23,Afternoon,Personal Care,Leave-in Conditioner,1,Debit Card,200.00,200.00,0.25,199.75
65,VKPM_VVMID00315,Male,Visakhapatnam,PRE_PRCS0124056,26-12-2025,Friday,13:26,Afternoon,Dairy & Frozen,Fresh Curd (Dahi),1,Cash,329.50,329.50,0.25,329.25
66,VKPM_VVMID00318,Male,Visakhapatnam,PRE_PRCS0124456,15-01-2026,Thursday,13:29,Afternoon,Fruits & Vegitables,Lemon,4,Cash,35.80,143.20,16.75,126.45
67,VKPM_VVMID00321,Male,Visakhapatnam,PRE_PRCS0124856,16-01-2026,Friday,13:32,Afternoon,Fruits & Vegitables,Coconut,1,UPI,97.66,97.66,0.25,97.41
68,VKPM_VVMID00324,Male,Visakhapatnam,PRE_PRCS0125256,17-01-2026,Saturday,13:35,Afternoon,Fruits & Vegitables,Jackfruit,1,Net Banking,134.90,134.90,0.25,134.65
69,VKPM_VVMID00327,Male,Visakhapatnam,PRE_PRCS0125656,30-12-2025,Tuesday,13:38,Afternoon,Toys & Games,Baby Alive dolls,1,UPI,399.00,399.00,0.25,398.75
70,VKPM_VVMID00330,Female,Visakhapatnam,PRE_PRCS0126056,27-12-2025,Saturday,13:41,Afternoon,Dairy & Frozen,Set Curd,1,Debit Card,119.60,119.60,0.25,119.35
71,VKPM_VVMID00333,Male,Visakhapatnam,PRE_PRCS0126456,18-01-2026,Sunday,13:44,Afternoon,Fruits & Vegitables,Pineapple,1,Cash,89.80,89.80,0.25,89.55
72,VKPM_VVMID00336,Female,Visakhapatnam,PRE_PRCS0126856,31-12-2025,Wednesday,13:47,Afternoon,Toys & Games,Kitchen Set (big plastic ones with light & sound),1,Net Banking,80.50,80.50,0.25,80.25
73,GJA_VVMID18165,Male,Gajuwaka,PRE_PRCS0127256,01-01-2026,Thursday,13:50,Afternoon,Home & Kitchen,Storage Containers / Jars,1,Credit Card,299.00,299.00,0.25,298.75
74,VKPM_VVMID00339,Male,Visakhapatnam,PRE_PRCS0127656,26-12-2025,Friday,13:53,Afternoon,Apparel,Bedsheets / Pillowcases,1,UPI,1400.50,1400.50,0.25,1400.25
75,GJA_VVMID18175,Male,Gajuwaka,PRE_PRCS0128056,21-01-2026,Wednesday,13:56,Afternoon,General Merchandise,Rat Traps / Repellents,1,Credit Card,80.60,80.60,0.25,80.35
76,VZNM_VVMID07001,Male,Vizianagaram,PRE_PRCS0128456,27-12-2025,Saturday,13:59,Afternoon,Apparel,Blankets / Quilts (Razai),10,UPI,390.89,3908.90,43.75,3865.15
77,AN-VVMID007707,Female,Auto Nagar,PRE_PRCS0128856,22-01-2026,Thursday,14:02,Afternoon,General Merchandise,Fly Swatters,1,Debit Card,329.50,329.50,0.25,329.25
78,SKLM_VVMID800840,Male,Srikakulam,PRE_PRCS0129256,28-12-2025,Sunday,14:05,Afternoon,Apparel,Kurta (Short/Long),1,Net Banking,349.80,349.80,0.25,349.55
79,SKLM_VVMID800860,Male,Srikakulam,PRE_PRCS0129656,25-12-2025,Thursday,14:08,Afternoon,Grocery & Staples,Wheat Flour (Atta),1,Net Banking,299.00,299.00,0.25,298.75
80,GJA_VVMID18185,Female,Gajuwaka,PRE_PRCS0130056,29-12-2025,Monday,14:11,Afternoon,Apparel,Kurta Pajama Set,2,UPI,489.80,979.60,5.75,973.85
81,GJA_VVMID18195,Male,Gajuwaka,PRE_PRCS0130456,26-12-2025,Friday,14:14,Afternoon,Grocery & Staples,All Purpose Flour (Maida),1,UPI,599.80,599.80,0.25,599.55
82,AN-VVMID007721,Male,Auto Nagar,PRE_PRCS0130856,27-12-2025,Saturday,14:17,Afternoon,Grocery & Staples,Semolina (Rava),1,Cash,119.60,119.60,0.25,119.35
83,VKPM_VVMID00342,Male,Visakhapatnam,PRE_PRCS0131256,23-01-2026,Friday,14:20,Afternoon,General Merchandise,Mosquito Nets,1,UPI,564.30,564.30,0.25,564.05
84,AN-VVMID007735,Male,Auto Nagar,PRE_PRCS0131656,30-12-2025,Tuesday,14:23,Afternoon,Apparel,Pathani Suit,2,Cash,990.10,1980.20,5.75,1974.45
85,VKPM_VVMID00345,Male,Visakhapatnam,PRE_PRCS0132056,28-12-2025,Sunday,14:26,Afternoon,Dairy & Frozen,Greek Yogurt,1,Cash,179.00,179.00,0.25,178.75
86,VKPM_VVMID00348,Male,Visakhapatnam,PRE_PRCS0132456,29-12-2025,Monday,14:29,Afternoon,Dairy & Frozen,Flavored Yogurt,1,UPI,329.50,329.50,0.25,329.25
87,VKPM_VVMID00351,Male,Visakhapatnam,PRE_PRCS0132856,30-12-2025,Tuesday,14:32,Afternoon,Dairy & Frozen,Probiotic Yogurt,1,Net Banking,120.00,120.00,0.25,119.75
88,VKPM_VVMID00354,Female,Visakhapatnam,PRE_PRCS0133256,31-12-2025,Wednesday,14:35,Afternoon,Dairy & Frozen,Lassi (Sweet/Salted/Mango),1,Cash,59.80,59.80,0.25,59.55
89,GJA_VVMID18205,Male,Gajuwaka,PRE_PRCS0133656,28-12-2025,Sunday,14:38,Afternoon,Grocery & Staples,Bombay Rava,1,Credit Card,230.00,230.00,0.25,229.75
90,VKPM_VVMID00357,Female,Visakhapatnam,PRE_PRCS0134056,01-01-2026,Thursday,14:41,Afternoon,Dairy & Frozen,Mishti Doi,1,UPI,79.60,79.60,0.25,79.35
91,VKPM_VVMID00360,Male,Visakhapatnam,PRE_PRCS0134456,19-01-2026,Monday,14:44,Afternoon,Fruits & Vegitables,Sapota (Chikoo),1,UPI,139.70,139.70,0.25,139.45
92,VKPM_VVMID00363,Male,Visakhapatnam,PRE_PRCS0134856,31-12-2025,Wednesday,14:47,Afternoon,Personal Care,Face Wash,1,Cash,329.50,329.50,0.25,329.25
93,AN-VVMID007749,Male,Auto Nagar,PRE_PRCS0135256,30-12-2025,Tuesday,14:50,Afternoon,Home & Kitchen,Spice Boxes (Masala Dabba),2,Debit Card,299.00,598.00,5.75,592.25
94,GJA_VVMID18215,Male,Gajuwaka,PRE_PRCS0135656,31-12-2025,Wednesday,14:53,Afternoon,Apparel,Sherwani,2,Credit Card,786.80,1573.60,5.75,1567.85
95,VKPM_VVMID00366,Female,Visakhapatnam,PRE_PRCS0136056,24-01-2026,Saturday,14:56,Afternoon,General Merchandise,LED Bulbs,2,UPI,200.00,400.00,5.75,394.25
96,NAD_VVMID30361,Male,NAD Junction,PRE_PRCS0136456,25-01-2026,Sunday,14:59,Afternoon,General Merchandise,Tube Lights,2,Cash,989.00,1978.00,5.75,1972.25
97,DN_VVMID014655,Male,Dwaraka Nagar,PRE_PRCS0136856,26-01-2026,Monday,15:02,Afternoon,General Merchandise,Emergency Lights,2,Credit Card,329.50,659.00,5.75,653.25
98,MPM_VVMID27863,Female,Maddilapalem,PRE_PRCS0137256,27-01-2026,Tuesday,15:05,Afternoon,General Merchandise,Lanterns,4,Debit Card,180.80,723.20,16.75,706.45
99,AN-VVMID007763,Male,Auto Nagar,PRE_PRCS0137656,29-12-2025,Monday,15:08,Afternoon,Grocery & Staples,Idli Rava,1,Debit Card,299.00,299.00,0.25,298.75
100,VZNM_VVMID07009,Male,Vizianagaram,PRE_PRCS0138056,02-01-2026,Friday,15:11,Afternoon,Dairy & Frozen,Paneer (Fresh/Block),1,UPI,85.00,85.00,0.25,84.75
101,VZNM_VVMID07017,Male,Vizianagaram,PRE_PRCS0138456,20-01-2026,Tuesday,15:14,Afternoon,Fruits & Vegitables,Custard Apple,2,UPI,117.66,235.32,5.75,229.57
102,VKPM_VVMID00369,Male,Visakhapatnam,PRE_PRCS0138856,01-01-2026,Thursday,15:17,Afternoon,Personal Care,Face Cream,1,UPI,329.50,329.50,0.25,329.25
103,VKPM_VVMID00372,Male,Visakhapatnam,PRE_PRCS0139256,31-12-2025,Wednesday,15:20,Afternoon,Home & Kitchen,Dinner Sets / Plates / Bowls,1,UPI,329.50,329.50,0.25,329.25
104,AN-VVMID007777,Male,Auto Nagar,PRE_PRCS0139656,01-01-2026,Thursday,15:23,Afternoon,Apparel,Nehru Jacket,2,Debit Card,2890.45,5780.90,5.75,5775.15
105,MVPC_VVMID29355,Male,MVP Colony,PRE_PRCS0140056,28-01-2026,Wednesday,15:26,Afternoon,General Merchandise,Decorative Lights / String Lights,2,UPI,121.98,243.96,5.75,238.21
106,VKPM_VVMID00375,Female,Visakhapatnam,PRE_PRCS0140456,02-01-2026,Friday,15:29,Afternoon,Apparel,Bandhgala,2,UPI,399.70,799.40,5.75,793.65
107,VKPM_VVMID00378,Male,Visakhapatnam,PRE_PRCS0140856,03-01-2026,Saturday,15:32,Afternoon,Apparel,Dhoti,2,UPI,329.50,659.00,5.75,653.25
108,VKPM_VVMID00381,Female,Visakhapatnam,PRE_PRCS0141256,30-12-2025,Tuesday,15:35,Afternoon,Grocery & Staples,Upma Rava,1,UPI,128.90,128.90,0.25,128.65
109,SKLM_VVMID800880,Male,Srikakulam,PRE_PRCS0141656,03-01-2026,Saturday,15:38,Afternoon,Dairy & Frozen,Malai Paneer,1,Net Banking,45.80,45.80,0.25,45.55
110,SKLM_VVMID800900,Male,Srikakulam,PRE_PRCS0142056,21-01-2026,Wednesday,15:41,Afternoon,Fruits & Vegitables,Fig,2,Net Banking,329.50,659.00,5.75,653.25
111,VKPM_VVMID00384,Male,Visakhapatnam,PRE_PRCS0142456,30-12-2025,Tuesday,15:44,Afternoon,Personal Care,Moisturizer,1,Net Banking,275.40,275.40,0.25,275.15
112,VKPM_VVMID00387,Male,Visakhapatnam,PRE_PRCS0142856,01-01-2026,Thursday,15:47,Afternoon,Home & Kitchen,Glasses / Mugs / Cups,1,UPI,179.00,179.00,0.25,178.75
113,NAD_VVMID30365,Female,NAD Junction,PRE_PRCS0143256,04-01-2026,Sunday,15:50,Afternoon,Apparel,Lungi,2,Cash,45.80,91.60,5.75,85.85
114,JMBJ_VVMID23199,Male,Jagadamba Junction,PRE_PRCS0143656,29-01-2026,Thursday,15:53,Afternoon,General Merchandise,Night Lamps,2,UPI,490.20,980.40,5.75,974.65
115,VKPM_VVMID00390,Male,Visakhapatnam,PRE_PRCS0144056,30-01-2026,Friday,15:56,Afternoon,General Merchandise,Solar Lights,2,Cash,299.98,599.96,5.75,594.21
116,VKPM_VVMID00393,Female,Visakhapatnam,PRE_PRCS0144456,31-12-2025,Wednesday,15:59,Afternoon,Grocery & Staples,Rice Flour,1,UPI,2099.00,2099.00,0.25,2098.75
117,GJA_VVMID18225,Male,Gajuwaka,PRE_PRCS0144856,04-01-2026,Sunday,16:02,Afternoon,Dairy & Frozen,"Processed Cheese (Slices, Cubes, Spread)",1,UPI,120.00,120.00,0.25,119.75
118,GJA_VVMID18235,Male,Gajuwaka,PRE_PRCS0145256,22-01-2026,Thursday,16:05,Afternoon,Fruits & Vegitables,Date,2,UPI,120.30,240.60,5.75,234.85
119,VKPM_VVMID00396,Male,Visakhapatnam,PRE_PRCS0145656,31-12-2025,Wednesday,16:08,Afternoon,Personal Care,Night Cream,1,Cash,289.70,289.70,0.25,289.45
120,NAD_VVMID30369,Male,NAD Junction,PRE_PRCS0146056,30-12-2025,Tuesday,16:11,Afternoon,Home & Kitchen,"Cutlery (Spoons, Forks, Knives)",1,Cash,118.30,118.30,0.25,118.05
121,DN_VVMID014669,Male,Dwaraka Nagar,PRE_PRCS0146456,05-01-2026,Monday,16:14,Afternoon,Apparel,Mundu,2,Credit Card,189.70,379.40,5.75,373.65
122,VKPM_VVMID00399,Male,Visakhapatnam,PRE_PRCS0146856,31-01-2026,Saturday,16:17,Afternoon,General Merchandise,Rechargeable Torches,2,Debit Card,2825.80,5651.60,5.75,5645.85
123,NAD_VVMID30373,Male,NAD Junction,PRE_PRCS0147256,01-01-2026,Thursday,16:20,Afternoon,Grocery & Staples,Gram Flour (Besan),1,Cash,179.00,179.00,0.25,178.75
124,DN_VVMID014683,Female,Dwaraka Nagar,PRE_PRCS0147656,02-01-2026,Friday,16:23,Afternoon,Grocery & Staples,Corn Flour,1,Credit Card,108.38,108.38,0.25,108.13
125,VKPM_VVMID00402,Male,Visakhapatnam,PRE_PRCS0148056,01-01-2026,Thursday,16:26,Afternoon,Toys & Games,Doctor Set (with stethoscope that beeps),1,Cash,329.50,329.50,0.25,329.25
126,AN-VVMID007791,Female,Auto Nagar,PRE_PRCS0148456,05-01-2026,Monday,16:29,Afternoon,Dairy & Frozen,Mozzarella Cheese,1,Cash,145.80,145.80,0.25,145.55
127,AN-VVMID007805,Male,Auto Nagar,PRE_PRCS0148856,23-01-2026,Friday,16:32,Afternoon,Fruits & Vegitables,Wood Apple,2,Cash,129.50,259.00,5.75,253.25
128,VKPM_VVMID00405,Male,Visakhapatnam,PRE_PRCS0149256,01-01-2026,Thursday,16:35,Afternoon,Personal Care,Day Cream,1,UPI,120.94,120.94,0.25,120.69
129,DN_VVMID014697,Male,Dwaraka Nagar,PRE_PRCS0149656,31-12-2025,Wednesday,16:38,Afternoon,Home & Kitchen,"Kitchen Tools (Ladles, Spatulas, Tongs)",1,Credit Card,80.50,80.50,0.25,80.25
130,MPM_VVMID27869,Male,Maddilapalem,PRE_PRCS0150056,06-01-2026,Tuesday,16:41,Afternoon,Apparel,Modi Jacket,2,Debit Card,254.00,508.00,5.75,502.25
131,VKPM_VVMID00408,Female,Visakhapatnam,PRE_PRCS0150456,24-12-2025,Wednesday,16:44,Afternoon,General Merchandise,Extension Cords / Boards,2,Cash,329.50,659.00,5.75,653.25
132,VKPM_VVMID00411,Male,Visakhapatnam,PRE_PRCS0150856,30-12-2025,Tuesday,16:47,Afternoon,Toys & Games,"Remote Control Cars (1:16 scale, rechargeable)",1,UPI,139.70,139.70,0.25,139.45
133,MPM_VVMID27875,Male,Maddilapalem,PRE_PRCS0151256,03-01-2026,Saturday,16:50,Afternoon,Grocery & Staples,Corn Starch,1,Debit Card,108.86,108.86,0.25,108.61
134,MVPC_VVMID29359,Female,MVP Colony,PRE_PRCS0151656,04-01-2026,Sunday,16:53,Afternoon,Grocery & Staples,Ragi Flour,1,UPI,80.60,80.60,0.25,80.35
135,GJA_VVMID18245,Male,Gajuwaka,PRE_PRCS0152056,06-01-2026,Tuesday,16:56,Afternoon,Dairy & Frozen,Cheddar Cheese,1,Credit Card,88.78,88.78,0.25,88.53
136,GJA_VVMID18255,Male,Gajuwaka,PRE_PRCS0152456,24-01-2026,Saturday,16:59,Afternoon,Fruits & Vegitables,Indian Gooseberry (Amla),2,Credit Card,169.90,339.80,5.75,334.05
137,VZNM_VVMID07025,Male,Vizianagaram,PRE_PRCS0152856,20-12-2025,Saturday,17:02,Evening,Personal Care,Sunscreen/Sunblock,1,UPI,1798.10,1798.10,0.25,1797.85
